19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [10] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 142 bcsz
19:23:03.084 0x1aa00           j9jit.15       - MTH_S: 000000000006B2F8 00007F9B1414434C 0000000000000000 [1] java.lang.ClassLoader.loadClass (Bytecode PC: 0) invokeCountDown: 1980, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 43 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 00000000000B59D8 0000000000000003 0000000000000000 [2] java.lang.VMAccess.findClassOrNull (Native Method) 4 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 000000000006B2F8 00007F9B1414435D 0000000000000000 [3] java.lang.ClassLoader.loadClass (Bytecode PC: 17) invokeCountDown: 1980, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 43 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 00000000000F9F48 00007F9B14211C91 0000000000000000 [4] java.io.File.isInvalid (Bytecode PC: 25) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 47 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 00000000000FA218 00007F9B14212329 0000000000000000 [5] java.io.File.getCanonicalPath (Bytecode PC: 1) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 31 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 00000000000FA248 00007F9B14212381 0000000000000000 [6] java.io.File.getCanonicalFile (Bytecode PC: 1) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 38 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 00000000000F58C0 00007F9B14208DE0 0000000000000000 [7] jdk.internal.loader.URLClassPath.toFileURL (Bytecode PC: 8) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 20 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 00000000000F5800 00007F9B14208B4B 0000000000000000 [8] jdk.internal.loader.URLClassPath.<init> (Bytecode PC: 111) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 210 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 00000000000EF5B0 00007F9B1420031B 0000000000000000 [9] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 99) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 118 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F9B141431BD 0000000000000000 [10] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 87 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E6CB 0000000000000000 [11] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 200 bcsz
19:23:03.084 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [12] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 13, cpu: 0.0%, 142 bcsz
19:23:03.086 0x1aa00           j9jit.15       - MTH_S: 0000000000108318 00007F9B14226910 0000000000000000 [1] jdk.internal.util.Preconditions.checkIndex (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 18 bcsz
