19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000F77B8 00007F6C6420E3E3 0000000000000000 [2] java.net.URL$DefaultFactory.createURLStreamHandler (Bytecode PC: 35) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 51 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000F7528 00007F6C6420CA5B 0000000000000000 [3] java.net.URL.getURLStreamHandler (Bytecode PC: 91) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 191 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000F6E38 00007F6C6420B72D 0000000000000000 [4] java.net.URL.<init> (Bytecode PC: 317) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 182 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000F6DD8 00007F6C6420B587 0000000000000000 [5] java.net.URL.<init> (Bytecode PC: 7) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 11 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000F6E08 00007F6C6420B5BD 0000000000000000 [6] java.net.URL.<init> (Bytecode PC: 5) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 9 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 0000000000100FD8 00007F6C64219D28 0000000000000000 [7] sun.net.www.ParseUtil.fileToEncodedURL (Bytecode PC: 84) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 88 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000F58C0 00007F6C64209085 0000000000000000 [8] jdk.internal.loader.URLClassPath.toFileURL (Bytecode PC: 13) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 20 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000F5800 00007F6C64208DEB 0000000000000000 [9] jdk.internal.loader.URLClassPath.<init> (Bytecode PC: 111) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 210 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 00000000000EF5B0 00007F6C642005BB 0000000000000000 [10] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 99) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 118 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F6C641431BD 0000000000000000 [11] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 87 bcsz
